epoch,reward
0.0,13780.196073956547
1.0,3695.665939650122
2.0,2589.7785664315466
3.0,2085.5192030540284
4.0,7796.589970198576
5.0,12987.483702409085
6.0,11091.088583065575
7.0,12142.263820527374
8.0,13428.484042740589
9.0,3916.0782952378913
10.0,6890.196505184087
11.0,8055.126643355152
12.0,12701.514236318128
13.0,17279.972281699727
14.0,4739.838114198918
15.0,3375.228646382527
16.0,-474.842652453838
17.0,6032.667820859346
18.0,15524.023269630059
19.0,4932.273840418936
20.0,6173.973560407181
21.0,12607.119249704783
22.0,8949.049681746894
23.0,15790.965216467665
24.0,4403.204882426439
25.0,18607.957200293968
26.0,6189.191209516533
27.0,3690.7161292424207
28.0,11324.043445380245
29.0,21921.19872532119
30.0,-519.6618040739068
31.0,2857.8630432685795
32.0,-217.28380033294047
33.0,19255.08862606783
34.0,242.1066258280568
35.0,16823.454912827183
36.0,-1391.488766954429
37.0,-756.3407188073079
38.0,8619.492940112048
39.0,383.0678938547612
40.0,3635.6330316437143
41.0,17813.078150663394
42.0,475.9161586444381
43.0,10140.65805508549
44.0,13338.587031219438
45.0,1360.17931485429
46.0,7527.747131983603
47.0,1930.7895826217039
48.0,11727.212151152557
49.0,292.3213483293811
50.0,4498.038590791819
51.0,-1671.0000796411246
52.0,-1838.9431553118836
53.0,14659.943812271691
54.0,-1339.0695070429367
55.0,-3847.23544145989
56.0,-1446.5540501922305
57.0,-1682.899581077063
58.0,-1394.966842561104
59.0,-2048.6776900239242
60.0,1322.5820165249024
61.0,-1152.0075104646876
62.0,12520.987524626684
63.0,-1295.362161412835
64.0,-1239.9545869793349
65.0,2680.2931668959563
66.0,202.8758886889254
67.0,-370.50832096698707
68.0,-336.7059562231813
69.0,-1004.3009639204829
70.0,159.35363136267023
71.0,-7.606353732909696
72.0,-894.2658479774865
73.0,-674.6515665955613
74.0,-485.3564485649794
75.0,-820.2206516249408
76.0,-765.8257071182536
77.0,-610.4353379177287
78.0,3633.963131088813
79.0,14183.424971216959
80.0,9894.328008922455
81.0,2083.352155428383
82.0,11014.258163336464
83.0,7827.655400582335
84.0,2853.9783522644348
85.0,-4026.9915232164935
86.0,21397.638216178188
87.0,9314.20640456372
88.0,-416.94698000648543
89.0,217.32987434755404
90.0,165.6015433211159
91.0,4065.773967402694
92.0,1929.5005136122634
93.0,-1673.3781164369832
94.0,17132.248484022522
95.0,-1191.3002465998254
96.0,-887.8532372708953
97.0,16505.154971592445
98.0,3875.504483402423
99.0,17378.821478373055
100.0,16291.84125310029
101.0,-2040.0762350850532
102.0,17647.066593065334
103.0,21605.10876886067
104.0,19363.945223484636
105.0,23237.832965708116
106.0,-1801.3040806919553
107.0,7899.367143913053
108.0,20760.820220783855
109.0,6955.04590425728
110.0,21403.45686950959
111.0,21415.56725376515
112.0,209.1895974111564
113.0,12834.572948749521
114.0,2845.6179870921796
115.0,1594.4519803176693
116.0,14680.53569717416
117.0,19262.417493001674
118.0,-36.10529178403011
119.0,13412.214725999198
120.0,277.3516166286275
121.0,15562.922682496695
122.0,21973.544810049014
123.0,350.8593739013981
124.0,428.1633410121524
125.0,7104.737248086889
126.0,8960.704406973595
127.0,9717.836146871854
128.0,19465.89673131786
129.0,14010.065028477466
130.0,12600.085344864963
131.0,1914.042447867695
132.0,17183.67757512334
133.0,5514.480602212008
134.0,-446.21334441114044
135.0,84.61619238346763
136.0,11041.021292327687
137.0,9197.083013519483
138.0,9952.34319389311
139.0,9265.918997590454
140.0,7666.354647317134
141.0,17507.294892132544
142.0,23619.757407925077
143.0,6555.220397357197
144.0,-1057.472651126474
145.0,-928.285638640315
146.0,17549.92687764522
147.0,2295.827556081125
148.0,14166.77629222055
149.0,18869.139784989045
150.0,6698.794817358218
151.0,-77.12572246162895
152.0,20721.21394372602
153.0,-182.69925873088545
154.0,-192.0333378005096
155.0,15143.851086522962
156.0,-264.5799850436992
157.0,-156.13711933814272
158.0,265.6543152659965
159.0,-120.92685579483145
160.0,-1271.1404889245362
161.0,-259.57915730219383
162.0,-363.6316952493299
163.0,146.32559257386714
164.0,11597.368910319306
165.0,5858.600620280771
166.0,13823.434267226157
167.0,18175.29517340823
168.0,5139.4887756373
169.0,-930.7544088918473
170.0,13126.195814924198
171.0,1468.1400564725586
172.0,6557.173933142784
173.0,1695.265616460909
174.0,6754.658800920005
175.0,2472.9581042013633
176.0,-635.9890067595381
177.0,2263.8316463779397
178.0,-510.66119371979687
179.0,3234.3586696543603
180.0,2921.758475929516
181.0,11769.924024259546
182.0,3700.0209068031604
183.0,-1240.6823676647996
184.0,4582.10147895212
185.0,7240.797929923371
186.0,5961.625490181533
187.0,14705.974528846633
188.0,4237.32665432201
189.0,12999.666804358774
190.0,972.7703046358473
191.0,5073.661974413312
192.0,1155.078912127322
193.0,325.8137599131917
194.0,5321.376897728425
195.0,347.93736220022964
196.0,7154.297910262752
197.0,-1621.7641570813546
198.0,14537.172413769575
199.0,3813.546018744362
200.0,3973.4133356607585
201.0,609.9778651714312
202.0,6701.008579622464
203.0,11135.439190598601
204.0,2126.735457776993
205.0,10348.12992235889
206.0,16705.578435310035
207.0,7403.96332959135
208.0,12572.599941935174
209.0,16810.2832795468
210.0,2489.1272411071477
211.0,3525.6041106072516
212.0,7927.96038281434
213.0,6896.3554146902325
214.0,-151.31510796318116
215.0,4136.407185554747
216.0,4161.700874627619
217.0,2557.1609243588764
218.0,11384.969945257886
219.0,9194.999665257532
220.0,455.9517747930041
221.0,210.70849636842422
222.0,-932.2948426504444
223.0,3041.491241886936
224.0,3220.1783423457255
225.0,17164.53378564581
226.0,3801.606913068865
227.0,1413.9839847441206
228.0,3777.4783978279115
229.0,180.09782423940965
230.0,1852.9475727078313
231.0,-68.60012422810749
232.0,2396.961663473445
233.0,5766.783275664052
234.0,8881.2509637034
235.0,2730.603105666754
236.0,1989.6220901234253
237.0,8377.465245703626
238.0,3006.262747086384
239.0,5973.5315223233865
240.0,1678.5922413246553
241.0,6994.222329609012
242.0,4321.497688211374
243.0,1212.9377025002186
244.0,2078.01634644381
245.0,12303.493225001108
246.0,-1604.6850975022473
247.0,391.7272548612784
248.0,2418.3555679506303
249.0,10702.299595351207
250.0,19676.998440434414
251.0,3722.262253648375
252.0,16050.997720134092
253.0,3605.385585199427
254.0,682.6311448799271
255.0,3646.766575225851
256.0,5054.368277600252
257.0,2100.97464521762
258.0,18764.959563376415
259.0,4445.283310908889
260.0,2874.632829622642
261.0,18226.696598637856
262.0,4884.383457657161
263.0,5300.26475233326
264.0,3903.228409546362
265.0,-331.8609726348121
266.0,15859.088823580709
267.0,4423.823001238108
268.0,5193.305920737859
269.0,15791.229293817098
270.0,2772.50242779934
271.0,12050.232174785746
272.0,1979.3650738676301
273.0,6511.349091643061
274.0,2367.3526946735465
275.0,4641.231092534455
276.0,-152.49197824495832
277.0,-380.3243819951326
278.0,-1207.5974649510347
